IDACCOUNT;USERNAME;NOMBRE_EJECUTIVO;EQUIPO;JEFE_AREA;NOMBRE_USUARIO_JEFE_AREA
4213-14;dlfontaine;Daniela Carolina Fontaine Lagos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5451-60;jpmendendez;Joaquín Sebastián Menéndez Prado;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5938-11;msgarciahuidobro;María Paz García-Huidobro Silva;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
1356-15;prirarrazaval;Pablo Andrés Irarrázaval Ríos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
7410-49;cuvaldes;Camila Antonia Valdés Urrutia;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5930-28;hlhurtado;Héctor Manuel Hurtado Larraín;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3493-63;frzanartu;Francisca Ignacia Zañartu Rivas;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5288-86;tflabbe;Tomás Eduardo Labbé Fuenzalida;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
4807-70;lcvial;Lorena Marcela Vial Cifuentes;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3796-70;ehmatte;Esteban Alonso Matte Herrera;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
1482-84;mtovalle;María Constanza Ovalle Tagle;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1607-21;jmchadwick;Javier Nicolás Chadwick Morales;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
7426-56;nseyzaguirre;Natalia Fernanda Eyzaguirre Soto;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1417-68;rputrrutia;Ricardo Sebastián Urrutia Peña;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
3965-61;pwfernandez;Paulina Andrea Fernández Wood;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
3378-11;mcgazmuri;Matías Felipe Gazmuri Correa;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
4239-56;vphuneeus;Verónica Alejandra Huneeus Prado;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1204-29;irbarrenechea;Ignacio Tomás Barrenechea Rojas;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
2725-88;dvlatorre;Daniela Sofía Latorre Valdés;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
7379-66;ckmontoya;Cristóbal Ignacio Montoya Klein;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
2009-63;mwarancibia;María José Arancibia Walker;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
8421-74;rfdelrio;Rodrigo Patricio Del Río Fuentes;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
5576-25;cscovarrubias;Claudia Beatriz Covarrubias Silva;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3468-65;flearrzuriz;Felipe Joaquín Errázuriz Lagos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
3517-17;alsanmartin;Ana Paula San Martín Loyola;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4579-81;gpvicuna;Gonzalo Esteban Vicuña Pérez;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
1522-42;csundurraga;Carolina Isabel Undurraga Soto;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
2527-30;srbalmaceda;Sebastián Andrés Balmaceda Ríos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
2363-45;mmecheverria;María Fernanda Echeverría Montoya;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
1614-90;avlarrain;Alejandro Ignacio Larraín Valdés;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
1654-16;glvergara;Gonzalo Patricio Vergara Lyon;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4368-48;mdibanez;María Loreto Ibáñez Del Solar;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3251-47;lucorvalan;Luis Felipe Corvalán Urrutia;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
1352-67;cmvillalobos;Catalina Andrea Villalobos Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4913-49;smfigueroa;Sebastián Ignacio Figueroa Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2411-61;npsubercaseaux;Natalia Beatriz Subercaseaux Prado;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2878-98;mdlarraechea;María Angélica Larraechea Díaz;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
1504-80;rvprieto;Rodrigo Esteban Prieto Valenzuela;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4008-40;amgazitua;Ana Sofía Gazitúa Morales;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3975-46;ckcifuentes;Cristian Eduardo Cifuentes Klein;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
3029-38;cpbascunan;Claudia Patricia Bascuñán Puelma;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
5065-55;iszaldivar;Ignacio Benjamín Zaldívar Soto;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
1279-12;mcdelano;María Elena Délano Cruz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4036-62;mvbarros;Mauricio Andrés Barros Varela;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
8170-16;pfleniz;Paula Verónica Léniz Figueroa;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6459-65;vcalywin;Vicente Tomás Aylwin Cáceres;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
7674-51;avlecaros;Alonso Martín Lecaros Vega;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6548-97;mfmontt;María Ignacia Montt Ferrada;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4910-45;aqsolar;Andrea Paulina Solar Quiroga;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
2486-34;dlfontaine;Daniela Carolina Fontaine Lagos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
9009-63;jpmendendez;Joaquín Sebastián Menéndez Prado;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3952-44;frtocornal;Felipe Esteban Tocornal Ruiz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
2903-54;msgarciahuidobro;María Paz García-Huidobro Silva;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5070-83;prirarrazaval;Pablo Andrés Irarrázaval Ríos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
1982-72;frzanartu;Francisca Ignacia Zañartu Rivas;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5046-75;cuvaldes;Camila Antonia Valdés Urrutia;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3667-54;hlhurtado;Héctor Manuel Hurtado Larraín;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
5357-25;tflabbe;Tomás Eduardo Labbé Fuenzalida;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
7501-77;lcvial;Lorena Marcela Vial Cifuentes;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
6285-34;ehmatte;Esteban Alonso Matte Herrera;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
8428-96;mtovalle;María Constanza Ovalle Tagle;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
4700-87;jmchadwick;Javier Nicolás Chadwick Morales;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
4323-69;nseyzaguirre;Natalia Fernanda Eyzaguirre Soto;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
2428-75;rputrrutia;Ricardo Sebastián Urrutia Peña;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
6202-53;pwfernandez;Paulina Andrea Fernández Wood;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
5160-53;mcgazmuri;Matías Felipe Gazmuri Correa;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1313-27;vphuneeus;Verónica Alejandra Huneeus Prado;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
4515-26;irbarrenechea;Ignacio Tomás Barrenechea Rojas;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
1245-20;dvlatorre;Daniela Sofía Latorre Valdés;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
5554-99;ckmontoya;Cristóbal Ignacio Montoya Klein;Inversiones Retail Grandes-VIP - Equipo 2;María Fernanda Echeverría Walker;mwecheverria
8816-27;mwarancibia;María José Arancibia Walker;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
1533-92;rfdelrio;Rodrigo Patricio Del Río Fuentes;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
6567-12;cscovarrubias;Claudia Beatriz Covarrubias Silva;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
9665-26;flearrzuriz;Felipe Joaquín Errázuriz Lagos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4249-35;alsanmartin;Ana Paula San Martín Loyola;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4014-44;gpvicuna;Gonzalo Esteban Vicuña Pérez;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
9736-25;csundurraga;Carolina Isabel Undurraga Soto;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
6347-23;srbalmaceda;Sebastián Andrés Balmaceda Ríos;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
7943-44;mmecheverria;María Fernanda Echeverría Montoya;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
4382-98;avlarrain;Alejandro Ignacio Larraín Valdés;Inversiones Retail Grandes-VIP - Equipo 1;Alejandro Ignacio Del Valle Montt;amdelvalle
5737-96;npsubercaseaux;Natalia Beatriz Subercaseaux Prado;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
6436-75;rvprieto;Rodrigo Esteban Prieto Valenzuela;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2122-91;mdlarraechea;María Angélica Larraechea Díaz;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
8143-20;amgazitua;Ana Sofía Gazitúa Morales;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4467-29;ckcifuentes;Cristian Eduardo Cifuentes Klein;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
9285-46;smfigueroa;Sebastián Ignacio Figueroa Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4918-61;jpmendendez;Joaquín Sebastián Menéndez Prado;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
4755-91;frtocornal;Felipe Esteban Tocornal Ruiz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6481-66;cpbascunan;Claudia Patricia Bascuñán Puelma;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
4177-91;aqsolar;Andrea Paulina Solar Quiroga;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
9165-49;mfmontt;María Ignacia Montt Ferrada;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6555-32;dlfontaine;Daniela Carolina Fontaine Lagos;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
4149-14;pfleniz;Paula Verónica Léniz Figueroa;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
1017-25;iszaldivar;Ignacio Benjamín Zaldívar Soto;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
7301-77;mcdelano;María Elena Délano Cruz;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6511-42;lucorvalan;Luis Felipe Corvalán Urrutia;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
2306-24;cmvillalobos;Catalina Andrea Villalobos Montt;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
8913-73;mvbarros;Mauricio Andrés Barros Varela;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
3334-46;avlecaros;Alonso Martín Lecaros Vega;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
6310-57;vcalywin;Vicente Tomás Aylwin Cáceres;Inversiones Retail Grandes-VIP - Equipo 4;Carolina Isabel Undurraga Del Río;crundurraga
3575-71;hlhurtado;Héctor Manuel Hurtado Larraín;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
3708-19;mdibanez;María Loreto Ibáñez Del Solar;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
4239-26;glvergara;Gonzalo Patricio Vergara Lyon;Inversiones Retail Grandes-VIP - Equipo 5;Gonzalo Esteban Vicuña Swinburn;gsvicuna
5595-53;frzanartu;Francisca Ignacia Zañartu Rivas;Inversiones Retail Grandes-VIP - Equipo 3;Sebastián Patricio Errázuriz Ovalle;soerrazuriz
